,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,UIDENTSTLA,lat_short,long_short
6188,6189,2,6,2,603,2016,4,15,2,3,5,2,0,0,1,1,0,0,0.0,0,582353.394399999990000,5926138.468299999800000,10.240903380000001,53.477779904000002,,10.241,53.478
6572,6573,2,4,2,405,2016,2,15,4,3,5,2,0,0,1,1,0,0,0.0,0,565114.366000000040000,5939258.010700000500000,9.983922804000001,53.598103684000002,,9.984,53.598
6589,6590,2,4,8,418,2016,3,14,6,3,6,7,0,0,1,0,1,0,0.0,0,567467.747500000060000,5937257.759899999900000,10.019045340000000,53.579829556000000,,10.019,53.58
6606,6607,2,3,6,318,2016,3,13,7,3,5,2,0,1,1,1,0,0,0.0,0,562842.417900000000000,5941421.184999999600000,9.950033651000000,53.617822046999997,,9.95,53.618
6695,6696,2,2,9,221,2016,1,8,6,3,3,2,2,1,1,1,0,0,0.0,0,555294.017299999950000,5936479.404400000300000,9.835057024999999,53.574258757000003,,9.835,53.574
6713,6714,2,2,9,221,2016,3,7,5,3,6,7,1,0,1,0,1,0,0.0,0,556646.842799999980000,5936244.399600000100000,9.855442455000000,53.572002298999998,,9.855,53.572
6760,6761,2,6,1,601,2016,2,7,5,3,5,3,2,1,1,1,0,0,0.0,0,579723.538799999980000,5927621.036000000300000,10.201662876000000,53.491508154999998,,10.202,53.492
6873,6874,2,6,2,603,2016,3,15,3,3,5,3,0,0,1,1,0,0,0.0,0,580837.839999999970000,5927155.464999999900000,10.218334535000000,53.487154216999997,,10.218,53.487
6926,6927,2,1,4,111,2016,3,15,7,3,5,3,0,0,1,1,0,0,0.0,0,563892.195300000020000,5934516.983500000100000,9.964487554000000,53.555645155999997,,9.964,53.556
6947,6948,2,3,1,306,2016,4,16,3,3,5,2,0,1,1,1,0,0,0.0,0,563298.670799999960000,5936155.365700000000000,9.955861281000001,53.570441733000003,,9.956,53.57
7056,7057,2,4,6,415,2016,3,18,6,2,5,3,2,0,1,1,0,0,0.0,0,568258.232599999990000,5935880.042100000200000,10.030681685999999,53.567345580999998,,10.031,53.567
7138,7139,2,3,1,306,2016,1,14,6,3,5,7,0,0,1,0,0,0,0.0,1,563487.752499999940000,5936513.334599999700000,9.958788908000001,53.573636061999999,,9.959,53.574
7233,7234,2,3,6,318,2016,3,8,3,3,5,3,0,0,1,1,0,0,0.0,0,563039.870099999940000,5940895.477099999800000,9.952911819000001,53.613073649000000,,9.953,53.613
7541,7542,2,4,7,417,2016,2,10,4,3,5,3,0,1,1,1,0,0,0.0,0,568445.573899999960000,5935626.913599999600000,10.033454524000000,53.565046285000001,,10.033,53.565
7567,7568,2,7,9,710,2016,3,7,3,3,5,3,0,0,1,1,0,0,0.0,0,564201.057000000030000,5922755.640499999700000,9.966741237000001,53.449903769000002,,9.967,53.45
7578,7579,2,2,13,226,2016,1,20,5,3,5,2,2,1,1,1,0,0,0.0,0,553618.762600000020000,5936885.133800000000000,9.809829626999999,53.578079221000003,,9.81,53.578
7715,7716,2,4,4,407,2016,1,8,6,3,5,3,0,0,1,1,0,0,0.0,0,565501.723600000030000,5940129.921199999700000,9.989958306000000,53.605891431000003,,9.99,53.606
7772,7773,2,2,5,215,2016,3,8,5,3,4,6,0,0,1,0,0,0,0.0,0,561398.805999999980000,5935371.445000000300000,9.927021883000000,53.563622103999997,,9.927,53.564
7777,7778,2,3,4,316,2016,2,12,5,3,3,2,0,1,1,1,0,0,0.0,0,563848.187700000010000,5937274.027900000100000,9.964386918000001,53.580428883000003,,9.964,53.58
7952,7953,2,2,6,218,2016,3,16,4,3,5,3,0,0,1,1,0,0,0.0,0,559192.787099999960000,5935654.617600000500000,9.893772782999999,53.566420573999999,,9.894,53.566
8042,8043,2,4,6,415,2016,2,19,1,3,3,6,2,1,1,1,0,0,0.0,0,568318.965600000000000,5935798.598399999600000,10.031580762999999,53.566605733999999,,10.032,53.567
8058,8059,2,4,5,412,2016,3,14,2,3,5,2,0,0,1,1,0,0,0.0,0,567472.849999999980000,5937631.070000000300000,10.019203102000001,53.583183884000000,,10.019,53.583
8115,8116,2,2,3,209,2016,3,13,6,3,6,7,0,1,1,0,1,0,0.0,0,562520.468499999960000,5935940.850100000400000,9.944068615999999,53.568607118000003,,9.944,53.569
8250,8251,2,3,1,307,2016,2,15,6,3,5,3,0,0,1,1,0,0,0.0,0,563218.254900000060000,5936186.512799999700000,9.954653426000000,53.570731358000003,,9.955,53.571
8302,8303,2,7,14,715,2016,4,16,2,2,4,1,0,0,1,1,0,0,0.0,0,555327.888999999970000,5925065.497399999800000,9.833552130999999,53.471670611000000,,9.834,53.472
8335,8336,2,4,2,403,2016,3,18,1,3,0,1,1,0,1,0,0,0,0.0,0,565119.959000000030000,5938891.337500000400000,9.983930728000001,53.594807623999998,,9.984,53.595
8375,8376,2,1,6,117,2016,2,8,3,3,0,7,0,0,1,1,1,0,0.0,0,568027.497800000010000,5933953.203200000300000,10.026778847999999,53.550058778999997,,10.027,53.55
8393,8394,2,4,2,403,2016,1,17,7,3,5,2,2,1,1,1,0,0,0.0,0,565123.880699999980000,5938632.767799999600000,9.983935979000000,53.592483319000003,,9.984,53.592
